Linear Greedy Val,Quadratic Greedy Val,Projected Subgradient Val,Linear Greedy Strategy,Quadratic Greedy Strategy,Projected Subgradient Strategy,x,y,u
0.025189074022425012,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[67.19284209124652, 12.069256820457355, 55.827735343833645, 58.49960778750847, 83.81089912976394, 97.02545813377935, 83.13671521777162, 43.80634414658052, 81.35994824179741, 44.72898307053351]","[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]","[92.43643850405348, 57.59961995941182, 81.61736740339546]"
0.04175903640051078,0.0,0.0,"[1.0, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[86.56063085574253, 16.979682910093242, 44.22342997255473, 61.102555803210635, 81.89607926946849, 62.45370960642912, 19.891410976558774, 12.518737730611928, 53.69559564778396, 43.43084506589068]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[32.36627618088549, 88.40498604302715, 70.12704238316309]"
0.038309466438974996,0.0,0.0,"[0.0, 1.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[96.1986425919419, 36.70151624563771, 78.33097607162053, 61.03708894318362, 19.58837169375303, 85.09651816085608, 82.43893664672319, 92.58879950236586, 51.2571971764214, 10.368847571435598]","[1, 0, 0, 1, 0, 0, 1, 0, 1, 0]","[72.28042327555515, 45.09871637496536, 75.19279251340053]"
0.06747440181429068,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[26.135384768030157, 13.796866945293083, 89.32329424552071, 43.57201581413721, 37.29698853251476, 15.026513784328415, 62.90138535965149, 53.164762127357754, 94.10168625232687, 34.69238222854426]","[0, 0, 1, 1, 1, 0, 0, 1, 1, 1]","[67.43317075926969, 21.708553261031447, 81.70754094388388]"
0.052748870479398885,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[40.75664005542113, 56.0117160280911, 43.84892200030811, 87.80658291510963, 44.034067028385486, 84.71629076871801, 87.50546739079529, 61.6349676447998, 90.45888792602967, 23.95840787007257]","[0, 0, 1, 1, 0, 0, 1, 0, 1, 0]","[26.840900564238478, 98.25634650228632, 92.35197296192084]"
0.11023714598462653,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[92.76808293895424, 73.67589052659156, 98.40494060940242, 52.18667637465369, 32.57136182283108, 46.81501854255927, 26.28801212286818, 92.11168725188396, 16.954919448865557, 10.966661605233641]","[0, 1, 1, 1, 1, 0, 0, 0, 1, 1]","[27.88407786382825, 85.68162420815136, 60.54959133923303]"
0.005728231718169427,0.0,0.0,"[0.0, 1.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[77.05040590673028, 53.47350421595135, 99.71841054502026, 55.28870944231212, 94.63204899452873, 89.36513702865199, 27.800734264486977, 62.90266086574249, 21.755797326575255, 25.400662042371884]","[0, 1, 1, 0, 1, 1, 1, 1, 0, 0]","[63.367484764935746, 65.90799343235942, 60.47561064147936]"
0.14892079949603165,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[68.9750243517557, 26.18085618020409, 11.392776851047577, 33.62707842251539, 73.05628304578713, 62.452539713713996, 61.61395426201516, 76.7106154188059, 12.187719530371174, 17.787267104261193]","[0, 1, 1, 1, 1, 1, 0, 1, 1, 1]","[67.45972622864416, 6.831267326126, 7.3709152159952]"
0.02430064784008093,0.0,0.0,"[0.0, 1.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[31.795236194090712, 27.575767762363604, 54.687442928778594, 86.47305758253808, 94.71513767179411, 24.527685876981813, 11.12711419821864, 32.437232039207025, 12.423619277628854, 81.48379610833263]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]","[93.58805891394475, 74.20353159646649, 43.69086986064262]"
0.2961853087331739,0.0,0.0,"[1.0, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[84.58890887566388, 58.678322056580996, 97.98193565826905, 25.736851602419733, 65.76905565104438, 99.36852280810051, 54.17219059742039, 43.53702715037324, 81.82196502840254, 93.95490145038124]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 1]","[28.588078512977834, 6.666746452171757, 17.870167146814964]"
